,REGIAO,ESPÉCIE,FASE,ADITIVO,AREA,ABA_ESP,ABB_ESP,ABC_ESP,ABD_ESP,ABE_ESP,ABF_ESP,ABG_ESP,ABH_ESP,ABI_ESP,ABL_ESP,ABM_ESP
5891,MATO G. DO SUL,BULL24867515,5d,E,103.2,45.3058114035088,25.9,25.94,16.62950778508772,3049.49,28.99,31.77,24.22,151.072030356009,16.63190681454027,12.57
5892,PIRACICABA,BULL24867515,>5d,D,86.49,54.9383541414955,27.417953,27.203806,18.62021526050933,3210.478,31.26116,33.833923,25.959854,165.004685199628,18.56976935840967,12.6160149
5894,RIB. PRETO,BULL24867515,1/½,I,27.81,92.0436432637571,28.14,24.66,24.9190440227704,1277.49,31.28,33.50658,28.846369,171.790414071612,24.7902069009161,12.47
5895,MATO G. DO SUL,BULL24867515,4d,E,338.4154,66.44164092748079,27.18,25.23,20.26424109279158,17782.59,30.31,32.59,24.24415,162.688423911736,20.20372506653071,12.49
5896,MATO G. DO SUL,BULL24867515,3d,E,172.36156,51.1339420743974,25.81,28.07,17.40439740047428,6287.58,29.52,32.21,29.132233,149.825604229022,17.39365921226735,12.53
5897,PARANÁ,BULL24867515,>5d,C,174.82,54.917067927773,26.681007,26.226726,18.30065774667111,6999.757,30.027185,32.175287,24.2126465,157.695356175635,18.2528174977508,12.5761234
5898,GOIAS,BULL24867515,5d,D,435.61615,51.4378259657947,27.76,25.93,18.21540137220925,16718.5,31.25,33.61,24.650623,168.180700968917,18.15942730402797,12.48
5899,PARANÁ,BULL24867515,2d,B,43.51000000000001,38.5655347508727,26.4566,24.83,15.84047309679467,849.08,29.32,31.26,25.0,155.490290010495,15.8118962856866,12.556401
5900,GOIAS,BULL24867515,>5d,E,255.31387,42.8649071259275,26.91,26.25,16.60195765247579,7521.86,30.32,32.62,25.335052,160.028697096004,16.5688919878402,12.49
5901,GOIAS,BULL24867515,3d,D,323.0627,76.1005173555042,28.96,25.71,22.8714477434935,19951.28,32.64,34.86,24.952348,179.443677134609,22.7332263322365,12.45
5902,GOIAS,BULL24867515,fr,D,20.802106,114.114653015994,26.97,26.05,27.2865635564943,910.824,30.32,32.51000000000001,26.392992,160.500099090164,27.1640360914328,12.47
5903,MATO G. DO SUL,BULL24867515,5d,E,14.2727945,40.7672290653643,26.5,24.94,16.17124821447782,77.382,29.41,31.4,25.466499,155.948514761704,16.14099989776892,12.47
